Campo_magnetico,Sistema_di_riferimento_inerziale,0
Accelerazione_di_gravit%C3%A0,Posizione,1
Energia,Pianeta,0
Energia_meccanica,Campo_gravitazionale,0
Fisica,Energia_potenziale_elettrica,0
Principi_della_dinamica,Motion_(disambigua),0
Legge_di_Snell,Indice_di_rifrazione,1
Legge_di_Hooke,Lavoro_(fisica),0
Accelerazione,Spostamento_(fisica),1
Fisica,Urto,0
Elettrone,Energia_meccanica,0
Massa_(fisica),Onda,0
Energia_potenziale,Interazione_gravitazionale,0
Indice_di_rifrazione,Campo_elettrico,0
Durezza,Elasticit%C3%A0_(meccanica),1
Effetto_fotoelettrico,Urto,0
Indice_di_rifrazione,Riflessione_(fisica),0
Onda_d%27urto_(fluidodinamica),Onda,1
Moto_parabolico,Interazione_gravitazionale,1
Sistema_di_riferimento_non_inerziale,Sistema_di_riferimento,1
Diffrazione,Campo_(fisica),0
Conduttore_elettrico,Spettro_elettromagnetico,0
Campo_magnetico,Velocit%C3%A0,0
Onda,Riflessione_(fisica),0
Energia,Urto,0
Intensit%C3%A0_acustica,Onda,0
Indice_di_rifrazione,Diffusione_ottica,0
Fisica,Rigidezza,0
Potenziale_elettrico,Joule,0
Temperatura,Fisica,0
Livello_energetico,Temperatura,0
Velocit%C3%A0,Effetto_Doppler,0
Radiazione_elettromagnetica,Velocit%C3%A0,0
Magnetismo,Corrente_elettrica,0
Potenziale_elettrico,Campo_magnetico,0
Legge_di_gravitazione_universale,Fisica,1
Posizione,Accelerazione,0
Indice_di_rifrazione,Onda,1
Fisica,Legge_di_Snell,0
Energia,Joule,0
Forza_elettromotrice,Differenza_di_potenziale_elettrico,1
Diffrazione,Diffusione_ottica,0
Capacit%C3%A0_elettrica,Coulomb,0
Isolante_elettrico,Differenza_di_potenziale_elettrico,0
Indice_di_rifrazione,Rifrazione,1
Magnetismo,Linea_di_campo,0
Livello_energetico,Energia,1
Distanza_(matematica),Microscopio_ottico,0
Urto_elastico,Energia_cinetica,1
Elettrostatica,Corrente_elettrica,0
Spostamento_(fisica),Massa_(fisica),0
Elettrone,Elettroscopio,0
Elettroscopio,Elettrostatica,0
Elettrone,Frequenza,0
Temperatura,Spettroscopia_di_assorbimento,0
Principi_della_dinamica,Urto,0
Laser,Spettroscopia_di_assorbimento,0
Lavoro_(fisica),Energia_potenziale,0
Differenza_di_potenziale_elettrico,Forza_elettromotrice,0
Spettroscopia_di_assorbimento,Lunghezza_d%27onda,1
Posizione,Forza,0
Accelerazione,Lavoro_(fisica),0
Riflessione_(fisica),Riflessione_interna_totale,0
Potenza_(fisica),Energia,1
Spettroscopia_di_assorbimento,Pianeta,0
Indice_di_rifrazione,Laser,0
Interazione_gravitazionale,Effetto_Doppler,0
Ampiezza,Effetto_Doppler,0
Onda,Tensione_(meccanica),0
Campo_gravitazionale_terrestre,Momento_meccanico,0
Accelerazione,Potenziale_elettrico,0
Lavoro_(fisica),Posizione,1
Spettro_elettromagnetico,Lunghezza_d%27onda,1
Spettro_di_emissione,Frequenza,1
Energia_potenziale,Potenza_(fisica),0
Riflessione_speculare,Onda,1
Energia,Potenza_(fisica),0
Riflessione_speculare,Vettore_(matematica),0
Elettrone,Spettroscopia_di_assorbimento,0
Riflessione_interna_totale,Luce,1
Plasticit%C3%A0_(fisica),Durezza,0
Fisica,Accelerazione_di_gravit%C3%A0,0
Livello_energetico,Fisica,1
Campo_magnetico,Magnete,1
Elasticit%C3%A0_(meccanica),Onda,0
Velocit%C3%A0_di_fase,Dispersione_ottica,0
Fisica,Lunghezza_d%27onda,0
Frattura_(meccanica),Resistenza_meccanica,0
Diffrazione,Onda,1
Caduta_libera,Spostamento_(fisica),1
Forza,Intensit%C3%A0_acustica,0
Lunghezza_d%27onda,Dispersione_ottica,0
Temperatura,Resistenza_elettrica,0
Campo_magnetico,Spettroscopia_di_assorbimento,0
